Breg pri Ribnici na Dol.,Breg pri Ribnici na Dolenjskem
Brezje pri Slov. Bistrici,Brezje pri Slovenski Bistrici
Črni Potok pri Vel. Laščah,Črni Potok pri Velikih Laščah
Dobravica pri Vel. Gabru,Dobravica pri Velikem Gabru
Dolenje Gradišče pri Šentj.,Dolenje Gradišče pri Šentjerneju
Dolenji Podboršt pri Treb.,Dolenji Podboršt pri Trebnjem
Dolga Njiva pri Šentlovren.,Dolga Njiva pri Šentlovrencu
Gorenje Gradišče pri Šentj.,Gorenje Gradišče pri Šentjerneju
Gorenji Podboršt pri V. Loki,Gorenji Podboršt pri Veliki Loki
Gradišče-K. o. Grad. in Polj.,Gradišče-K. o. Grad. in Polj.
Gradišče-K. o. Št. Lovrenc,Gradišče-K. o. Št. Lovrenc
Hrastovec v Slov. goricah,Hrastovec v Slovenskih goricah
Lenart v Slov. goricah,Lenart v Slovenskih goricah
Mihovci pri Vel. Nedelji,Mihovci pri Veliki Nedelji
Moravci v Slov. goricah,Moravci v Slovenskih goricah
Podturn pri Dol. Toplicah,Podturn pri Dolenjskih Toplicah
Pristava pri Polh. Gradcu,Pristava pri Polhovem Gradcu
Pristavica pri Vel. Gabru,Pristavica pri Velikem Gabru
Razbore-K. o. Ježni Vrh,Razbore-K. o. Ježni Vrh
Sela pri Dol. Toplicah,Sela pri Dolenjskih Toplicah
Šempeter v Savinj. dolini,Šempeter v Savinjski dolini
Šentilj v Slov. goricah,Šentilj v Slovenskih goricah
Špitalič pri Slov. Konjicah,Špitalič pri Slovenskih Konjicah
Srednja vas pri Polh. Grad.,Srednja vas pri Polhovem Gradcu
Srobotnik pri Vel. Laščah,Srobotnik pri Velikih Laščah
Št. Janž pri Radljah,Št. Janž pri Radljah
Št. Jurij,Št. Jurij
Stara Gora pri Vel.Gabru,Stara Gora pri Velikem Gabru
Suhor pri Dol. Toplicah,Suhor pri Dolenjskih Toplicah
Sv. Ana v Slov. goricah,Sv. Ana v Slovenskih goricah
Sv. Trije Kralji v Slov. gor.,Sv. Trije Kralji v Slovenskih goricah
Sv. Trojica v Slov. goricah,Sv. Trojica v Slovenskih goricah
Tolsti Vrh p. R. na K. - del,Tolsti Vrh pri Ravnah na Koroškem - del
Vrhole pri Slov. Konjicah,Vrhole pri Slovenskih Konjicah