Ankaran - Ancarano,Ankaran / Ancarano
Brnik - Aerodrom,Brnik - Aerodrom
Dobrovnik - Dobronak,Dobrovnik - Dobronak
Hodoš - Hodos,Hodoš / Hodos
Izola - Isola,Izola / Isola
Koper - Capodistria,Koper / Capodistria
Lenart v Slov. goricah,Lenart v Slovenskih goricah
Lendava - Lendva,Lendava / Lendva
Ljubljana - Črnuče,Ljubljana - Črnuče
Ljubljana - Dobrunje,Ljubljana - Dobrunje
Ljubljana - Polje,Ljubljana - Polje
Ljubljana - Šentvid,Ljubljana - Šentvid
Ljubljana - Šmartno,Ljubljana - Šmartno
Piran - Pirano,Piran / Pirano
Portorož - Portorose,Portorož / Portorose
Prosenjakovci - Pártosfalva,Prosenjakovci / Pártosfalva
Rateče Planica,Rateče - Planica
Sečovlje - Sicciole,Sečovlje / Sicciole
Šentilj v Slov. goricah,Šentilj v Slovenskih goricah
Šmarje - Sap,Šmarje - Sap
Sv. Ana v Slov. goricah,Sv. Ana v Slovenskih goricah
Sv. Trojica v Slov. goricah,Sv. Trojica v Slovenskih goricah
Videm - Dobrepolje,Videm - Dobrepolje